Year,Month,Variable,101
1954,6,mintemp,17.4
1954,7,mintemp,20.6
1954,8,mintemp,20
1954,9,mintemp,16.4
1954,10,mintemp,9.3
1954,11,mintemp,2.4
1954,12,mintemp,-0.5
1955,1,mintemp,0.1
1955,2,mintemp,2.5
1955,3,mintemp,6.4
1955,4,mintemp,10.7
1955,5,mintemp,14.6
1955,6,mintemp,14.8
1955,7,mintemp,20
1955,8,mintemp,19.9
1955,9,mintemp,17.3
1955,10,mintemp,7.3
1955,11,mintemp,2.7
1955,12,mintemp,1.3
1956,1,mintemp,-0.7
1956,2,mintemp,5.2
1956,3,mintemp,4.6
1956,4,mintemp,8
1956,5,mintemp,15
1956,6,mintemp,17
1956,7,mintemp,19.4
1956,8,mintemp,19.1
1956,9,mintemp,14.2
1956,10,mintemp,11.2
1956,11,mintemp,1.9
1956,12,mintemp,5.1
1957,1,mintemp,3
1957,2,mintemp,7.2
1957,3,mintemp,4.6
1957,4,mintemp,10.4
1957,5,mintemp,15.1
1957,6,mintemp,19.5
1957,7,mintemp,19.5
1957,8,mintemp,18.3
1957,9,mintemp,17.3
1957,10,mintemp,8.9
1957,11,mintemp,6.7
1957,12,mintemp,1.6
1958,1,mintemp,-1.6
1958,2,mintemp,-3.5
1958,3,mintemp,4.1
1958,4,mintemp,9.6
1958,5,mintemp,13.7
1958,6,mintemp,18.7
1958,7,mintemp,20.3
1958,8,mintemp,19.2
1958,9,mintemp,16.6
1958,10,mintemp,8.4
1958,11,mintemp,5
1958,12,mintemp,-1.1
1959,1,mintemp,-1.5
1959,2,mintemp,3.4
1959,3,mintemp,3.2
1959,4,mintemp,8.8
1959,5,mintemp,15
1959,6,mintemp,18.3
1959,7,mintemp,20
1959,8,mintemp,19.6
1959,9,mintemp,17.4
1959,10,mintemp,13.5
1959,11,mintemp,3
1959,12,mintemp,1.9
1960,1,mintemp,1.6
1960,2,mintemp,0.2
1960,3,mintemp,0.4
1960,4,mintemp,9.4
1960,5,mintemp,11.3
1960,6,mintemp,17.7
1960,7,mintemp,19.9
1960,8,mintemp,19.8
1960,9,mintemp,17.2
1960,10,mintemp,10.5
1960,11,mintemp,3.3
1960,12,mintemp,-1.7
1961,1,mintemp,-3
1961,2,mintemp,4.1
1961,3,mintemp,6.7
1961,4,mintemp,6.7
1961,5,mintemp,11.8
1961,6,mintemp,16.6
1961,7,mintemp,18.5
1961,8,mintemp,18.6
1961,9,mintemp,16.5
1961,10,mintemp,7
1961,11,mintemp,6.2
1961,12,mintemp,2.2
1962,1,mintemp,-0.2
1962,2,mintemp,4.8
1962,3,mintemp,3.3
1962,4,mintemp,7.7
1962,5,mintemp,15
1962,6,mintemp,18
1962,7,mintemp,19.7
